Name;Year;Void;Non-place;Space;Nature;Development;Suburbia;Urbanisation;Sprawl;One Building;Part of a building;City Center;Grid/Order;Interior;Poster;Screen;Facade;Geographically Specific;Public Space;Private Space;Model;Plan
CH-1995-1;1995;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
CH-1995-3;1995;0;0;0;0,5;0,5;0,5;0,5;1;0;0;0;0;0;0;0;0;1;1;0;0;0
E-1995-4;1995;0;0,5;0;0,5;1;0;0;0;0;0;0;0;0;0;0;0;0,5;0,5;0,5;0;0
E-1995-7;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E-1995-19;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E-1995-23;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E-1995-34;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I-1995-2;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I-1995-12;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I-1995-19;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E-1996-7;1996;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E-1996-9;1996;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Blue Poster;1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Connection;1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Decor;1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Doll's House;1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eve;1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Glass;1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Green Wall;1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NL-1997-1;1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pit;1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Soil;1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Wood;1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Contour;1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13 Aeroplanes;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A Moon;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bay Area;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Constellation;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Double Mist;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
H2O;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
High Pool;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Landscape;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Long Beach;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Meander;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Neon;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Suburb;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transit;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Water;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Apartment;1999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3 Piano;1999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Avenue;1999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Block;1999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Circuit;1999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Corridor;1999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Interval;1999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Set;1999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transfer;1999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Descent;2000;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
Balance;2000;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;1;1;1;0;0;0
Complex;2000;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0
Court;2000;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0,7;1;0;1;0;0
Facade;2000;0,5;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;1;0;0;0
Flow;2000;0;0;0;0,3;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0
Home;2000;0;0,5;0;0;1;0;0;0;0;1;0;0,2;0;0;0;1;0;0;1;0;0
Neighbourhood;2000;0;0,2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
Spot;2000;0;0;0;0;0;0;1;0;1;0;1;0,5;0;0;0;0,4;1;0;1;0;0
Capital;2000;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;1;0;1;1
Parallel;2000;0;0,2;0;0;1;0;0;0;0;1;0;0,8;0;0;0;0,7;1;0;1;0;0
Exit;2001;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
Ground;2001;0,3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Passing;2001;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
Setting;2001;0;0;0;0;0;0;0;0;0;1;0;0,4;0;0;0;1;0;0;1;0;0
Still;2001;0,5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Building;2001;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;1;1;0;1
Expo;2001;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
Flux;2001;0;0,5;0;0,5;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
Intersection;2001;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
Two Sixty Four;2001;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;1;0;1;0;0
Domicile;2002;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0
Park ;2002;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;1;1;1;0;0;0
Gate;2002;0;0,5;0;0;1;0;0;0,5;0;0;0;0,7;0;0;0;0;1;1;0;0;0
Mezzanine;2002;0;1;0;0;1;0;0;0;0;0;0;0,8;1;0;0;0;1;1;0;0;0
Quarter;2002;0;0;0;0;0;1;0;0;1;0;0;0,8;0;0;0;0;1;1;0;0;0
Terrace;2002;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0,5;0;1;0;0;0
Tube;2002;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0
Intermezzo;2003;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0
Info;2003;0;0;0;0;0;0;0;0;1;0;0;0;0,5;0;0;1;1;1;0;0;0
Tour;2003;0;0;0,3;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0
Midi;2003;0;1;0;0;0;0;0;0;0;1;0;0;0,5;0;0;1;1;1;0;0;0
Lille;2003;0;1;0;0;0;0;0;0;0;1;0;0;0,5;0;0;0;1;1;0;0;0
Metro;2003;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
Etage;2003;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
Platform;2003;0,6;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;1
Habitat;2003;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0
Annex;2003;0;0;0;0;0;0;0;0;1;0;0;0,7;0;0;0;1;1;1;0;0;0
Column;2003;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0
Crop;2003;1;0;0,8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
Focus;2003;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0
Grid;2003;0;0;0;0;1;0;0;0;1;0;0;1;0,5;0;0;1;1;0;1;0;0
Lobby;2003;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0
Model;2003;0;0;0;0;1;0;0;0;1;0;0;0,4;0;0;0;0;1;0;1;0;0
Plateau;2003;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;1;1;0;1;1
Prospect;2004;0;0;0;0;0;0;1;0;0,8;0;1;0,5;0;0;0;0;1;1;0;0;0
Nexus;2004;0;0;0;0;0;0;1;0;1;0;1;0,5;0;0;0;0,5;1;1;0;0;0
Level;2004;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0
Gazette;2004;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0
Plan;2004;0,2;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;1;1;0;1;0
Frame;2004;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;1;0;0;0
Section;2004;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;1;0;0;0
Facet;2004;0;0;0,3;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0
Class;2004;0;0;0;0;0;0;0;0;0;1;0;0,4;0;0;0;0,5;0;1;1;0;0
Panorama;2004;0;0;0;0;1;0;1;0;0;0;0;0,7;0;0;0;0,7;1;0;1;0;0
Sequence;2004;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0
Palace;2004;0;0;0;0;0;0;0;0;1;0;1;0,6;0;0;0;1;1;1;0;0;0
Link;2004;0;1;0;0;0;0;1;0;0;1;0;0,8;0;0,5;0;0;1;1;1;0;0
Gallery;2004;0;0;0;0;0;0;0;0;0;1;0;0,5;0;0;0;1;1;0;1;0;0
Front;2004;0;0;0;0;1;0;0;0;1;0;0;0,5;0;0;0;1;0;0;1;0;0
Canvas;2004;0;0;0;0;1;0;0;0;0;1;0;0,7;0;0;0;1;0,7;0;1;0;0
Match;2004;0;0,8;0;0;0;0;0;0;0;1;0;0,7;1;0;0;0;0;1;0;0;0
Scene;2004;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
Module;2004;0;0,5;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0
Zone;2004;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0
Loop;2005;0;1;0;0;0;0;0;0;1;0;0;0,5;0,5;0;0;0,5;0;1;0;0;0
Enterprise;2005;0;0;0;0;1;0;1;0;1;0;0;0,5;0;1;0;0,4;1;0;0;0;1
Display;2005;0;0;0,5;0;0;0;0;0;0;0;1;0,5;0;0;0;0;1;1;1;0;0
Enclave;2005;0;0;0;0,7;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
Domain;2005;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0,5;1;1;0;0;1
Room;2005;0,3;0,5;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0
Core;2005;0;0;0,3;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0
Palette;2005;0,5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0
Queue;2005;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0
Unit;2005;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
Reservoir;2005;0;0;0;0,5;0;0;0;0;0;0;0;0;1;0;0,5;0,5;1;0;1;1;0
Image;2005;0;1;0;0;1;0;1;0;0;1;0;0;0,5;0;0,5;1;0;0;1;1;0
Regime;2005;0;0,5;0;0;0;1;0;0;0;1;0;0,5;0;0;0;0,3;1;1;1;0;0
Border;2005;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1
Storey;2005;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0
Circle;2006;0;0,5;0;0;0;0;0;0;0;0;0;0,3;1;0;0;0;0;0;0,5;0;0,2
Memo;2006;0;0;0;0;0;0;0;0;0;0;0;0,3;1;0;0,5;0;0;0;0;0;1
Contact;2006;0;0,3;0;0;0;0;0;0;0;0;0;0,7;1;0;0;0;0;0;0;0;0,5
Collage;2006;0;0;0;0;0;0;0;0;0;1;0;0,5;0,5;0;0;1;0;1;0;0;0
Filter;2006;0;0,3;0;0;0;0;0;0;0;0;0;0,5;1;0;0,5;0;0;0;0;0;0
Corner;2006;0;0,3;0;0;0;1;0;0;0;1;0;0,7;0;0;0;0,5;0,5;1;0;0;0
Bloom;2006; ;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0
Fringe;2006;0,5;0;0,5;0,5;0;0;0,5;0,5;0;0;0;0;0;0;0;0;0,3;1;0;0;0
Array;2006;0;0,3;0;0;0,3;0;1;0;0;1;0;0,6;0;0;0;1;0,6;1;1;0;0
Cycle;2006;0;0,5;0;0;0,5;0,5;0,5;0;0;0;0;0,3;0;0;0;0;1;1;0;0;1
Interlude;2006;0,8;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0,7;1;0;0;1
Studio;2006;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;1;1;1;0;0;1
Arcade;2006;0;0,5;0;0;1;0;0;0;0;1;0;0,7;1;0;0;0;1;1;1;0;0
Mirage;2006;0,8;1;0;0;0,3;0;1;0;0;1;1;1;0;0;1;1;1;1;0;0;0,5
Sector;2006;0;0,5;0;0;0;0;0;0;0;0;0;0,3;1;0;0;0;0;0;0,5;0;0,2
Entrance;2006;0,2;0,6;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0
Square;2006;0;0,8;0;0;0;0;0;0;1;0;0;0,7;0;0;0;0;1;1;0;0;0
Screen;2006;0;0;0;0;0;0;0;0;0;0;0;0,2;1;0;1;0;1;0;1;0;0
Network;2006;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0
Presence;2006;0,2;0,5;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0
Exposure;2007;0;0;0;0;1;0;0;0;0;0;0,7;0;0;0;0;0;1;1;0;0;0,5
Base;2007;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0
Center;2007;0;0;0;0;0;0;0;0;0;0;0;0,5;1;0;0;0;1;1;0;0;0
Access;2007;0;0;0;0;0;1;0,5;0,8;0;0;0,3;0,3;0;0;0;0;0;1;0;0;0
Aperture;2007;0;1;0;0;0;0;0;0;0;0,5;0,3;0,5;0;0;0;0,5;0;1;0;0;0
Detail;2007;0;0,5;0;0,5;0;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0;1;1
Dynasty;2007;0;1;0;0;0,5;0,7;0,7;0,2;1;0;0;0;0;1;0;0;0;0;1;0;1
Living;2007;0;0;0;0;0;0;0;0;0;1;0,5;0,5;0;0;0;0,5;1;0;1;0;0
Passage;2007;0,2;0;0;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Bouquet;2008;0;0;0;0,5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0
Forum;2008;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0
House;2008;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;1
Territory;2008;0;0,5;0;0,5;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0
Labyrinth;2008;0;1;0;0;0;1;0,5;0;0;1;0;0,5;0;0;0;0;1;1;0;0;0
Cluster;2008;0;0;0;0;0;1;1;0;0;0;0;0,3;0;0;0;0;1;1;0;0;0
Atmosphere;2008;0,5;0;0,5;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0
Volume;2008;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0,5;0;0;1;0;0;0
Support;2008;0;1;0;0;0;1;0,3;0;0;1;0;0,5;0;0;0;0;1;1;0;0;0
Junction;2008;0;0;0;0;0;0;1;0;0;0;1;0,2;0;0;0;0;0;1;0;0;0
Spectrum;2008;0;0;0;0;0;0;0;0;0;0;0;0,4;0;0;0;0;1;1;0;0;1
Replica;2008;0;0;0;0;0;1;0,3;0;0;1;0;0;0;0;0;0,5;0;1;0;0;0
Control;2008;0;0;0,5;0;0;1;0;0;0;0;0;0,2;1;0;0;0;1;1;0;1;1
Nature;2008;0;1;0;0,3;0;0,5;0;0;0;0;0;0,7;0;1;0;1;1;1;0;0;0
Project;2008;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1
Property;2008;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0
Summit;2008;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0
Transition;2008;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
Site;2008;0;0;0;0;1;0;1;0;0;0;0;0,5;0;0;0;0;1;1;1;0;1
Matrix;2008;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0,5;1;0;0;0
Monitor;2008;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;1;1;0;0
Flood;2009;0;1;0;0,5;0;0;0;0;0;0;0;1;0;0;1;0;0,5;1;0;0;0
Picture a Mirror;2009;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
Matter;2009;0;0;0,3;0,3;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0
Play;2009;0;0;0;0,5;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
Race;2009;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0,6;1;1;0;0;0
Condominium;2010;0;1;0;0;1;0;1;0;0;1;0;1;1;0;0;1;1;0;1;1;1
The English House;2010;0;0,5;0;0;0,5;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0
Green Zone;2010;0;1;0;0,5;0,5;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0
SuperVision;2010;0;0;0;0;0;0;1;0;1;0;1;0,5;0;0;0;0;0;0;1;0;0
China Halo;2010;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0,5;1;0;0;0
Crossover;2010;0;1;0;0;1;0;1;0;0;1;0;0,2;0;0;0;0,6;0;0;1;1;0
Premises (in Red);2010;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0,8;0;1;1;0;1
One Brilliant Complex;2011;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0,5;1;1;0;0;1
The Approach;2011;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Double Standard;2012;0;0;0;0;1;0;1;0;0,8;0;0;0;0;0;0;0;1;0;1;0;0
Plot Ratio;2012;0;1;0;0;1;0;0;0;0;1;0;0,3;1;0;0;0;1;0;1;1;0
Synchronicity;2012;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0,5;0;1;1;0;0;0
Costa Blanca;2012;0,3;1;0;0;0;1;1;1;1;0;0;0;0;1;0;0;1;0;1;0;1
Flatland;2012;0;0,8;0;0;1;0;0;0;0;1;0;1;0;0;0;0,8;0;1;0;1;0
Hotel Opportunity;2012;0;0,5;0;0;1;0;0;0;0;0;1;1;1;0,5;0;0;1;0;1;0;1
Mission Interlude;2012;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1
Multi Story Building;2012;0;0;0;0;1;1;0;0;0,9;0;0;0,4;0;0;0;1;0;0,5;0,5;0;0
Timeport;2012;0;1;0;0;0,5;0;0;0;0;0;0;0;1;0;0;1;0,8;1;0;1;0
Hollywood;2013;0;0,5;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
Megalopolis;2013;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0
Paramount;2013;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;1;0
Thriller;2013;0;0,5;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0
Capital no Capital;2013;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;1;0;0;1
California;2013;1;1;0;0,7;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0
Levante;2013;0;0,5;0;0;0;0;1;0;0;0;1;0,4;0;0;0;0;1;1;0;0;0
Propitious Grounds;2013;0;0;0;0,5;0;0;0;0;0;0;1;0,3;0;0;0;0;1;1;0;0;0,4
The Strip;2013;0,5;1;0;0;0,5;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0
Treasure Gathering Square;2013;0;0,5;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0
The Crossroads;2014;0;0;0;0;1;0;1;0;0;0;1;0,5;0;0;0;0;1;1;0;0;0
The Deal;2015;0;0,3;0;0;1;0;1;0;0;0;1;0,3;0;0;0;0,5;1;1;0;0;0
Panacea;2015;0;0,3;0;0;0;0;0;0;0;0;1;0,5;0;0;0;1;1;1;0;0;0,3
Wonderland;2015;0;0;0;0;0;0;1;0,2;0,8;0;1;0,3;0;0;0;0,6;1;1;0;0;0
Momentum;2016;0;1;0;0;0;0;0;0;0;0;0;0;1;0,5;0;0;1;1;0,5;1;0
The Next Level;2016;0;0,8;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0,5;0;1;0;0
UN;2016;0;1;0;0;0;0;1;0;0;0;0,3;0;0;0;0;0,6;0,5;1;0;1;0
Entr'acte;2016;0;0;0;0;1;0;1;0;0;0;1;0,2;0;0;0;0;1;1;0;0;0,5
Performance;2017;0;0;0;0;1;0;1;0;1;0;0;0,7;0;0;0;0,5;0;1;0,5;0;0,8
The Valley Continuum;2018;0,5;0,5;0,5;0,7;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0